Test,high temp,low temp,ave temp,ave voltage std,ave voltage,ave resistance,resistance std
char1,30,20,25.1388598,0.020241151,3.577268357,0.974679472,0.060718695
aging1,30,21,22.86734169,0.021573782,3.573709669,0.949148465,0.110090448
aging2,30,21,22.86729556,0.022419735,3.573653013,0.916084926,0.020588426
aging3,30,21,22.86990348,0.023453605,3.573658562,0.950317297,0.056598333
char2,33,20,23.37817526,0.013512499,3.587608274,0.934770284,0.106528459
aging4,30,20,25.33361841,0.023943316,3.577299344,0.897445493,0.04799573
aging5,33,21,25.87825757,0.012155557,3.587100912,0.837997557,0.054278369
aging6,34,19,23.66088869,0.014621195,3.584806638,0.853393519,0.055333464
Aging7,35,19,25.20897867,0.016726231,3.546420628,0.879375887,0.059340599
aging8,34,20,25.23432695,0.01707257,3.546547193,0.894629363,0.046408224
aging9,35,20,24.86625266,0.013275664,3.545420696,0.849404394,0.053702228
aging11,31,20,24.46934296,0.01498156,3.544746876,0.863206732,0.046504985
Aging12,32,20,23.95484593,0.016803008,3.544326893,0.869251485,0.052725053
aging13,32,20,24.39879464,0.013014549,3.544084852,0.870641222,0.044318989
aging14,33,20,23.26929198,0.017077165,3.543459835,0.856977076,0.038248248
aging15,32,20,23.83109385,0.017160724,3.543344494,0.870881387,0.032606307
Aging16,32,20,24.52475728,0.013520646,3.54224713,0.89050942,0.039396944
aging17,32,20,25.12501973,0.017259068,3.542000385,0.91024363,0.030222917
aging18,32,15,23.54478137,0.017868776,3.549298183,0.898506222,0.038737918
aging19,32,19,23.49497135,0.01599707,3.59492445,0.906477881,0.050889976
aging20,32,19,23.8436866,0.019116566,3.535971254,0.877933812,0.033059568
Aging21,32,20,24.868134297554985,0.0161785892560646,3.5343640489700467,0.9009368673928284,0.0406258539868174
Aging22,35,20,25.03622444702586,0.0181167092805405,3.534724268136587,0.892245185469052,0.0330465753109196
Aging23,33,19,24.43832255912488,0.0176639746213911,3.577604788767473,0.920722968617142,0.0435878988127584
Aging24,33,19,25.544863306339803,0.018272131920903,3.5775674766689245,0.913464751528093,0.0527065272292588
Aging25,37,19,26.62115418120192,0.0148254520476727,3.578285052383888,0.9119773316122004,0.0458398844143497
Aging26,37,19,25.165189093814504,0.0170178861334466,3.5730173500072584,0.9363464260085372,0.0404073292076987
Aging27,33,18,21.39880921915131,0.017907897052487,3.5747167372012703,0.8554086340130769,0.152060909206131
Aging27,33,18,21.39880921915131,0.017907897052487,3.5747167372012703,0.8554086340130769,0.152060909206131
28,35,19,23.927011479078242,0.012431911827986437,3.5506183601669647,0.6968046500620618,0.11599715030565955
